,Food code,Main food description,WWEIA Category description,Ingredient description
6440,27311210,"Corned beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Meat mixed dishes,Carrots  frozen  cooked  boiled  drained  without salt
6441,27311210,"Corned beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Meat mixed dishes,Broccoli  frozen  chopped  cooked  boiled  drained  without salt
6442,27311210,"Corned beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Meat mixed dishes,Salt  table  iodized
6443,27311220,"Corned beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Meat mixed dishes,Beef  cured  corned beef  brisket  cooked
6444,27311220,"Corned beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Meat mixed dishes,Vegetable oil  NFS
6445,27311220,"Corned beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Meat mixed dishes,Potatoes  boiled  cooked without skin  flesh  without salt
6446,27311220,"Corned beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Meat mixed dishes,Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt
6447,27311220,"Corned beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Meat mixed dishes,Beans  snap  green  frozen  cooked  boiled  drained without salt
6448,27311220,"Corned beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Meat mixed dishes,Salt  table  iodized
6449,27311310,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,"Beef  chuck  arm pot roast  separable lean only  trimmed to 1/8"" fat  choice  raw"
6450,27311310,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Carrots  raw
6451,27311310,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Onions  raw
6452,27311310,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Peas  green (includes baby and lesuer types)  canned  drained solids  unprepared
6453,27311310,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Tomatoes  red  ripe  canned  packed in tomato juice
6454,27311310,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Potatoes  flesh and skin  raw
6455,27311310,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Beverages  water  tap  drinking
6456,27311310,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Salt  table  iodized
6457,27311310,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Wheat flour  white  all-purpose  enriched  bleached
6458,27311310,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Vegetable oil  NFS
6459,27311310,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Beef stew  canned entree
6460,27311320,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,"Beef  chuck  arm pot roast  separable lean only  trimmed to 1/8"" fat  choice  raw"
6461,27311320,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Potatoes  flesh and skin  raw
6462,27311320,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Onions  raw
6463,27311320,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Peas  green (includes baby and lesuer types)  canned  drained solids  unprepared
6464,27311320,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Tomatoes  red  ripe  canned  packed in tomato juice
6465,27311320,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Beverages  water  tap  drinking
6466,27311320,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Wheat flour  white  all-purpose  enriched  bleached
6467,27311320,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Salt  table  iodized
6468,27311320,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Vegetable oil  NFS
6469,27311410,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,"Beef  chuck  arm pot roast  separable lean only  trimmed to 1/8"" fat  choice  raw"
6470,27311410,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Carrots  raw
6471,27311410,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Onions  raw
6472,27311410,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Peas  green (includes baby and lesuer types)  canned  drained solids  unprepared
6473,27311410,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Potatoes  flesh and skin  raw
6474,27311410,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Beverages  water  tap  drinking
6475,27311410,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Salt  table  iodized
6476,27311410,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Wheat flour  white  all-purpose  enriched  bleached
6477,27311410,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Vegetable oil  NFS
6478,27311420,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,"Beef  chuck  arm pot roast  separable lean only  trimmed to 1/8"" fat  choice  raw"
6479,27311420,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Potatoes  flesh and skin  raw
6480,27311420,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Onions  raw
6481,27311420,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Peas  green (includes baby and lesuer types)  canned  drained solids  unprepared
6482,27311420,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Beverages  water  tap  drinking
6483,27311420,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Wheat flour  white  all-purpose  enriched  bleached
6484,27311420,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Salt  table  iodized
6485,27311420,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Vegetable oil  NFS
6498,27311600,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,"Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled"
6499,27311600,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Gravy  chicken  canned or bottled  ready-to-serve
6500,27311600,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Potatoes  boiled  cooked without skin  flesh  without salt
6501,27311600,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Carrots  frozen  cooked  boiled  drained  without salt
6502,27311600,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Broccoli  frozen  chopped  cooked  boiled  drained  without salt
6503,27311600,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Vegetable oil  NFS
6504,27311600,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Salt  table  iodized
