ingredient,food_description,ingredient_iD,carbs,cholesterol,fiber,calories,protein,sugar,monosaturated_fat,polysaturated_fat,saturated_fat,sodium
SOUP,"SOUP,SIRLOIN BURGER W/VEG,RTS,SINGLE BRAND",6729,6.8,11,2.299999952,77,4.2,0.0,1.32,0.523,1.33,361
SOUP,"SOUP,SPLIT PEA W/ HAM,CHUNKY,RED FAT,RED NA,RTS,SINGLE BRAND",6730,11.3,6,0.0,76,5.2,0.0,0.404,0.198,0.3,343
SOUP,"SOUP,BEAN W/BACON,COND,SINGLE BRAND",6731,18.0,3,4.599999905,117,6.5,0.0,0.747,0.446,0.601,736
SOUP,"SOUP,BF W/VEG&BARLEY,CND,COND,SINGLE BRAND",6733,8.2,6,0.0,61,3.9,0.0,0.567,0.098,0.48,707
SOUP,"SOUP,CHICK W/STAR-SHAPED PASTA,CND,COND,SINGLE BRAND",6734,7.1,4,0.0,50,2.3,0.0,0.546,0.303,0.342,732
SOUP,"SOUP,CRM OF CHICK,CND,COND,SINGLE BRAND",6736,7.7,7,0.0,99,2.4,0.0,1.64,2.05,1.61,788
SOUP,"SOUP,SPLIT PEA W/HAM&BACON,CND,COND,SINGLE BRAND",6738,21.2,3,3.0,140,8.6,0.0,0.892,0.439,0.676,729
SOUP,"SOUP,VEG BF,CND,COND,SINGLE BRAND",6739,7.7,5,0.0,53,3.8,0.0,0.176,0.237,0.231,555
SOUP,"SOUP,CHICK VEG,CHUNKY,RED FAT,RED NA,RTS,SINGLE BRAND",6740,6.3,4,0.0,40,2.7,0.0,0.168,0.107,0.121,192
SOUP,"SOUP,VEG BF,MICROWAVABLE,RTS,SINGLE BRAND",6742,3.3,3,1.5,44,6.2,0.0,0.223,0.112,0.221,376
SOUP,"SOUP,CHUNKY BF W/ COUNTRY VEG,RTS",6749,8.57,10,0.0,62,4.08,0.0,0.443,0.511,0.612,367
SAUCE,"SAUCE,CHS,RTS",6930,6.83,29,0.5,174,6.71,0.419999987,3.823,2.599,6.01,828
SAUCE,"SAUCE,PASTA,SPAGHETTI/MARINARA,RTS",6931,13.76,2,2.599999905,87,1.78,8.840000153,0.589,1.184,0.699,410
CAMPBELL SOUP COMP,"CAMPBELL SOUP COMP,PREGO PASTA,TRADITIONAL ITALIAN SAU,RTS",6932,10.0,0,2.299999952,62,1.54,8.460000038,0.0,0.0,0.769,446
SOUP,"SOUP,CRM OF CHICK,CND,COND,RED NA",6955,9.5,6,0.400000006,58,1.8,0.389999986,0.4,0.4,0.5,357
SOUP,"SOUP,TOMATO,CND,COND,RED NA",6956,13.41,0,1.200000048,65,1.61,8.109999657,0.179,0.189,0.155,22
GRAVY,"GRAVY,BROWN INST,DRY",6957,59.78,12,3.200000048,380,8.53,9.229999542,5.488,0.499,5.866,5053
GRAVY,"GRAVY,INST BF,DRY",6958,61.1,11,4.300000191,369,9.8,23.89999962,3.659,0.938,4.88,5203
GRAVY,"GRAVY,INST TURKEY,DRY",6959,57.56,24,3.799999952,409,11.72,7.599999905,5.25,4.478,4.931,4090
SAUCE,"SAUCE,ALFREDO MIX,DRY",6960,36.52,56,2.0,535,15.32,5.400000095,13.669,8.61,13.18,2590
SAUCE,"SAUCE,PEPPERS,HOT,CHILI,MATURE RED,CND",6961,3.9,0,0.699999988,21,0.9,2.549999952,0.411,0.074,0.08,25
SAUCE,"SAUCE,CHILI,PEPPERS,HOT,IMMAT GRN,CND",6962,5.0,0,1.899999976,20,0.7,2.549999952,0.068,0.012,0.013,25
No Category,FISH BROTH,6963,0.4,0,0.0,16,2.0,0.090000004,0.121,0.162,0.142,318
SOUP,"SOUP,TOMATO,LO NA,W/H2O",6964,6.57,0,0.600000024,30,0.79,3.970000029,0.088,0.093,0.076,24
SOUP,"SOUP,PEA,LO NA,PREP W/ EQ VOLUME H2O",6965,9.88,0,1.899999976,62,3.2,3.190000057,0.372,0.142,0.524,10
SOUP,"SOUP,CHICK NOODLE,LO NA,CND,PREP W/ EQ VOLUME H2O",6966,2.95,5,0.200000003,25,1.27,0.270000011,0.418,0.264,0.262,173
SOUP,"SOUP,VEG SOUP,COND,LO NA,PREP W/ EQ VOLUME H2O",6967,6.06,0,1.100000024,33,1.1,2.150000095,0.102,0.202,0.074,194
SOUP,"SOUP,CRM OF MUSHROOM,LO NA,RTS,CND",6968,4.53,1,0.200000003,53,1.0,1.720000029,0.704,1.739,1.005,20
POTATO SOUP,"POTATO SOUP,INST,DRY MIX",6969,76.14,12,7.599999905,343,9.2,10.0,1.185,1.025,0.613,612
SOUP,"SOUP,CHICK BROTH,LO NA,CND",6970,1.2,0,0.0,16,2.0,0.129999995,0.274,0.126,0.179,30
SAUCE,"SAUCE,WORCESTERSHIRE",6971,19.46,0,0.0,78,0.0,10.02999973,0.0,0.0,0.0,980
SAUCE,"SAUCE,TOMATO CHILI SAU,BTLD,W/SALT",6972,19.79,0,5.900000095,104,2.5,10.53999996,0.038,0.154,0.045,1338
SAUCE,"SAUCE,TOMATO CHILI SAU,BTLD,NO SALT,LO NA",6973,28.73,0,0.5,104,2.5,8.960000038,0.042,0.137,0.044,20
SOUP,"SOUP,VEG CHICK,CND,PREP W/ H2O,LO NA",6974,8.76,7,0.400000006,69,5.1,1.419999957,0.895,0.418,0.597,35
SAUCE,"SAUCE,BARBECUE,LO NA",6975,36.25,0,0.600000024,150,0.0,26.05999947,0.074,0.17,0.0,133
SAUCE,"SAUCE,PASTA,SPAGHETTI/MARINARA,RTS,LO NA",6976,13.76,2,2.599999905,87,1.78,8.840000153,0.589,1.184,0.699,30
GRAVY,"GRAVY,MEAT OR POULTRY,LO NA,PREP",6977,6.16,3,0.300000012,53,3.8,0.01,1.068,0.095,1.003,18
SOUP,"SOUP,BF & MUSHROOM,LO NA,CHUNK STYLE",6978,9.58,6,0.200000003,69,4.3,0.839999974,0.394,0.068,1.621,25
No Category,ADOBO FRESCO,6979,18.6,0,1.299999952,271,2.0,2.029999971,14.963,2.044,2.91,17152
SOUP,"SOUP,BF STROGANOFF,CND,CHUNKY STYLE,RTS",6980,9.0,21,0.600000024,98,5.1,1.679999948,1.556,0.246,2.324,435
SOUP,"SOUP,BOUILLON CUBES&GRANULES,LO NA,DRY",6981,64.88,13,0.200000003,438,16.7,14.47000027,5.365,4.485,3.433,1067
SOUP,"SOUP,RAMEN NOODLE,BF FLAVOR,DRY",6982,63.27,0,2.200000048,436,10.29,1.779999971,6.784,1.528,7.965,2002
SOUP,"SOUP,RAMEN NOODLE,CHICK FLAVOR,DRY",6983,63.57,0,2.400000095,437,10.66,1.350000024,6.148,1.387,7.095,2071
Soup,"Soup, Swanson chickne broth",6984,0.14,0,0.0,4,0.54,0.150000006,0.0,0.0,0.0,409
GRY,"GRY, HNZ Home style beef gravy",6985,6.24,2,0.699999988,39,1.09,0.519999981,0.432,0.046,0.4,587
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CHICK NOODLE SOUP,COND",6986,6.35,8,0.800000012,48,2.38,0.790000021,0.397,0.397,0.397,373
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CRM OF CELERY,COND",6987,9.68,4,0.800000012,54,0.81,1.610000014,0.403,0.806,0.0,387
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CRM OF MUSHROOM ,COND",6988,8.06,4,0.800000012,56,1.61,1.610000014,0.403,0.806,0.403,379
