,0
1093,659270
1094,634698
1095,642892
1096,634703
1097,716627
1098,634715
1099,651101
1100,651103
1101,634726
1102,634727
1103,634733
1104,642941
1105,634751
1106,634753
1107,651140
1108,634769
1109,659358
1110,634792
1111,634794
1112,634798
1113,651184
1114,651186
1115,700339
1116,659380
1117,651190
1118,659396
1119,634829
1120,651225
1121,634848
1122,610277
1123,610281
1124,659451
1125,659459
1126,659460
1127,634888
1128,659465
1129,634891
1130,634897
1131,634898
1132,659479
1133,659480
1134,643096
1135,643098
1136,643104
1137,651297
1138,667698
1139,634931
1140,643125
1141,659513
1142,651326
1143,471109
1144,643153
1145,659548
1146,659563
1147,1454187
1148,634994
1149,634996
1150,651385
1151,635001
1152,651389
1153,659581
1154,659596
1155,651407
1156,1077392
1157,1077393
1158,651409
1159,659605
1160,1003670
1161,659613
1162,635040
1163,635041
1164,651426
1165,635043
1166,651434
1167,651437
1168,643249
1169,643252
1170,659638
1171,643255
1172,635066
1173,635068
1174,643270
1175,635082
1176,635085
1177,659672
1178,659674
1179,659677
1180,659681
1181,782585
1182,782600
1183,782601
1184,635148
1185,651546
1186,782622
1187,643362
1188,659750
1189,471334
1190,659757
1191,651575
1192,635200
1193,643394
1194,659782
1195,635207
1196,635215
1197,635226
1198,635228
1199,643421
1200,635231
1201,635235
1202,651624
1203,635243
1204,643443
1205,659834
1206,635260
1207,651646
1208,635263
1209,643455
1210,643471
1211,635290
1212,651675
1213,659867
1214,635291
1215,635297
1216,659887
1217,643505
1218,659906
1219,1470917
1220,643529
1221,635345
1222,659927
1223,659929
1224,643561
1225,635370
1226,651755
1227,635372
1228,643564
1229,635375
1230,651769
1231,651773
1232,651784
1233,635408
1234,602643
1235,635413
1236,635414
1237,635417
1238,660002
1239,635436
1240,651823
1241,635441
1242,635443
1243,660021
1244,635446
1245,635447
1246,651832
1247,651837
1248,635468
1249,643669
1250,635488
1251,635492
1252,635495
1253,635507
1254,635513
1255,635521
1256,651911
1257,610952
1258,651914
1259,660115
1260,651930
1261,635547
1262,660126
1263,660128
1264,660130
1265,651940
1266,660133
1267,635561
1268,651945
1269,635574
1270,651965
1271,651972
1272,651977
1273,643789
1274,651984
1275,651987
1276,651989
1277,651991
1278,651996
1279,643808
1280,652001
1281,643823
1282,643832
1283,652026
1284,660220
1285,1045245
1286,660221
1287,652033
1288,635649
1289,660227
1290,660228
1291,660234
1292,676630
1293,652061
1294,660261
1295,643877
1296,643885
1297,660283
1298,643901
1299,643902
1300,660286
1301,635712
1302,660290
1303,660291
1304,660292
1305,652100
1306,643926
1307,660312
1308,660313
1309,643931
1310,643945
1311,635769
1312,45945
1313,643972
1314,643973
1315,660366
1316,660370
1317,635795
1318,652183
1319,643993
1320,660382
1321,1463207
1322,652203
1323,635820
1324,635821
1325,660398
1326,644020
1327,660405
1328,660406
1329,652225
1330,644038
1331,644044
1332,652238
1333,652239
1334,652240
1335,635856
1336,652241
1337,635862
1338,1504225
1339,1504227
1340,652260
1341,1160166
1342,635895
1343,1487863
1344,619521
1345,635907
1346,644102
1347,644106
1348,644109
1349,652307
1350,644119
1351,644127
1352,652335
1353,644148
1354,644149
1355,627767
1356,1061943
1357,652345
1358,635964
1359,644192
1360,652390
1361,652393
1362,644215
1363,644218
1364,652421
1365,652423
1366,652433
1367,644255
1368,652448
1369,636066
1370,627874
1371,627875
1372,652460
1373,636080
1374,660666
1375,1184955
1376,660670
1377,636096
1378,636097
1379,660685
1380,644306
1381,636118
1382,636133
1383,636134
1384,636137
1385,636141
1386,660727
1387,644357
1388,636167
1389,627979
1390,627984
1391,636177
1392,644393
1393,644398
1394,652602
1395,652605
1396,652607
1397,660804
1398,636228
1399,652624
1400,1439063
1401,652632
1402,652635
1403,660837
1404,660842
1405,660843
1406,652656
1407,636276
1408,652661
1409,636278
1410,636280
1411,636286
1412,652672
1413,636289
1414,660868
1415,644488
1416,693640
1417,652689
1418,660884
1419,652706
1420,652708
1421,652711
1422,636328
1423,652716
1424,652738
1425,636360
1426,636361
1427,636364
1428,652749
1429,652753
1430,652754
1431,636372
1432,652757
1433,652759
1434,652760
1435,636385
1436,644584
1437,636392
1438,636393
1439,644595
1440,660983
1441,636411
1442,644604
1443,660989
1444,652813
1445,652814
1446,652819
1447,644627
1448,661011
1449,661014
1450,652824
1451,652825
1452,644637
1453,652834
1454,661033
1455,661044
1456,1070648
1457,652864
1458,652866
1459,661059
1460,661071
1461,644711
1462,652910
1463,661106
1464,661117
1465,652936
1466,644757
1467,636571
1468,661151
1469,636579
1470,636581
1471,644783
1472,642675
1473,644789
1474,636598
1475,644791
1476,636600
1477,636602
1478,636603
1479,636604
1480,652990
1481,636608
1482,661186
1483,652995
1484,636610
1485,644810
1486,636620
1487,644813
1488,636626
1489,644822
1490,644826
1491,644828
1492,653025
1493,661218
1494,644835
1495,644846
1496,644853
1497,653047
1498,661240
1499,63225
1500,644859
1501,644861
1502,653054
1503,661250
1504,636675
1505,644867
1506,636682
1507,653068
1508,653072
1509,644882
1510,653078
1511,644898
1512,644901
1513,653098
1514,661291
1515,636714
1516,661292
1517,636743
1518,653128
1519,661322
1520,661323
1521,636754
1522,653145
1523,661340
1524,653149
1525,636766
1526,636768
1527,661351
1528,653162
1529,653178
1530,636799
1531,653185
1532,645002
1533,653195
1534,636812
1535,653200
