,Spoonacular Recipe ID,Recipe,Recipe Sodium,Recipe Sugar
218,632118,Almond Cranberry Cookies,41mg,1g
219,632118,Almond Cranberry Cookies,41mg,1g
220,632118,Almond Cranberry Cookies,41mg,1g
221,632118,Almond Cranberry Cookies,41mg,1g
222,632118,Almond Cranberry Cookies,41mg,1g
223,632118,Almond Cranberry Cookies,41mg,1g
224,632118,Almond Cranberry Cookies,41mg,1g
225,632118,Almond Cranberry Cookies,41mg,1g
226,632118,Almond Cranberry Cookies,41mg,1g
227,632118,Almond Cranberry Cookies,41mg,1g
228,632118,Almond Cranberry Cookies,41mg,1g
229,632118,Almond Cranberry Cookies,41mg,1g
230,632118,Almond Cranberry Cookies,41mg,1g
231,632118,Almond Cranberry Cookies,41mg,1g
232,632118,Almond Cranberry Cookies,41mg,1g
233,632118,Almond Cranberry Cookies,41mg,1g
234,632118,Almond Cranberry Cookies,41mg,1g
235,632118,Almond Cranberry Cookies,41mg,1g
236,632118,Almond Cranberry Cookies,41mg,1g
237,632118,Almond Cranberry Cookies,41mg,1g
238,632118,Almond Cranberry Cookies,41mg,1g
239,632118,Almond Cranberry Cookies,41mg,1g
240,632118,Almond Cranberry Cookies,41mg,1g
241,632118,Almond Cranberry Cookies,41mg,1g
242,632118,Almond Cranberry Cookies,41mg,1g
243,632118,Almond Cranberry Cookies,41mg,1g
244,632118,Almond Cranberry Cookies,41mg,1g
245,632118,Almond Cranberry Cookies,41mg,1g
246,632118,Almond Cranberry Cookies,41mg,1g
247,632118,Almond Cranberry Cookies,41mg,1g
248,632118,Almond Cranberry Cookies,41mg,1g
249,632118,Almond Cranberry Cookies,41mg,1g
250,632118,Almond Cranberry Cookies,41mg,1g
251,632118,Almond Cranberry Cookies,41mg,1g
252,632118,Almond Cranberry Cookies,41mg,1g
253,632118,Almond Cranberry Cookies,41mg,1g
254,632118,Almond Cranberry Cookies,41mg,1g
255,632118,Almond Cranberry Cookies,41mg,1g
256,632118,Almond Cranberry Cookies,41mg,1g
257,632118,Almond Cranberry Cookies,41mg,1g
258,632118,Almond Cranberry Cookies,41mg,1g
259,632118,Almond Cranberry Cookies,41mg,1g
260,632118,Almond Cranberry Cookies,41mg,1g
261,632118,Almond Cranberry Cookies,41mg,1g
262,632118,Almond Cranberry Cookies,41mg,1g
263,632118,Almond Cranberry Cookies,41mg,1g
264,632118,Almond Cranberry Cookies,41mg,1g
265,632118,Almond Cranberry Cookies,41mg,1g
266,632118,Almond Cranberry Cookies,41mg,1g
267,632118,Almond Cranberry Cookies,41mg,1g
268,632118,Almond Cranberry Cookies,41mg,1g
269,632118,Almond Cranberry Cookies,41mg,1g
270,632118,Almond Cranberry Cookies,41mg,1g
271,632118,Almond Cranberry Cookies,41mg,1g
272,632118,Almond Cranberry Cookies,41mg,1g
273,632118,Almond Cranberry Cookies,41mg,1g
274,632118,Almond Cranberry Cookies,41mg,1g
275,632118,Almond Cranberry Cookies,41mg,1g
276,632118,Almond Cranberry Cookies,41mg,1g
277,632118,Almond Cranberry Cookies,41mg,1g
278,632118,Almond Cranberry Cookies,41mg,1g
279,632118,Almond Cranberry Cookies,41mg,1g
280,632118,Almond Cranberry Cookies,41mg,1g
281,632118,Almond Cranberry Cookies,41mg,1g
282,632118,Almond Cranberry Cookies,41mg,1g
283,632118,Almond Cranberry Cookies,41mg,1g
284,632118,Almond Cranberry Cookies,41mg,1g
285,632118,Almond Cranberry Cookies,41mg,1g
286,632118,Almond Cranberry Cookies,41mg,1g
287,632118,Almond Cranberry Cookies,41mg,1g
288,632118,Almond Cranberry Cookies,41mg,1g
289,632118,Almond Cranberry Cookies,41mg,1g
290,632118,Almond Cranberry Cookies,41mg,1g
291,632118,Almond Cranberry Cookies,41mg,1g
292,632118,Almond Cranberry Cookies,41mg,1g
293,632118,Almond Cranberry Cookies,41mg,1g
294,632118,Almond Cranberry Cookies,41mg,1g
295,632118,Almond Cranberry Cookies,41mg,1g
296,632118,Almond Cranberry Cookies,41mg,1g
297,632118,Almond Cranberry Cookies,41mg,1g
298,632118,Almond Cranberry Cookies,41mg,1g
299,632118,Almond Cranberry Cookies,41mg,1g
300,632118,Almond Cranberry Cookies,41mg,1g
301,632118,Almond Cranberry Cookies,41mg,1g
302,632118,Almond Cranberry Cookies,41mg,1g
303,632118,Almond Cranberry Cookies,41mg,1g
304,632118,Almond Cranberry Cookies,41mg,1g
305,632118,Almond Cranberry Cookies,41mg,1g
306,632118,Almond Cranberry Cookies,41mg,1g
307,632118,Almond Cranberry Cookies,41mg,1g
308,632118,Almond Cranberry Cookies,41mg,1g
309,632118,Almond Cranberry Cookies,41mg,1g
310,632118,Almond Cranberry Cookies,41mg,1g
311,632118,Almond Cranberry Cookies,41mg,1g
312,632118,Almond Cranberry Cookies,41mg,1g
313,632118,Almond Cranberry Cookies,41mg,1g
314,632118,Almond Cranberry Cookies,41mg,1g
315,632118,Almond Cranberry Cookies,41mg,1g
316,632118,Almond Cranberry Cookies,41mg,1g
317,632118,Almond Cranberry Cookies,41mg,1g
318,632118,Almond Cranberry Cookies,41mg,1g
319,632118,Almond Cranberry Cookies,41mg,1g
320,632118,Almond Cranberry Cookies,41mg,1g
321,632118,Almond Cranberry Cookies,41mg,1g
322,632118,Almond Cranberry Cookies,41mg,1g
323,632118,Almond Cranberry Cookies,41mg,1g
324,632118,Almond Cranberry Cookies,41mg,1g
325,632118,Almond Cranberry Cookies,41mg,1g
326,632118,Almond Cranberry Cookies,41mg,1g
327,632118,Almond Cranberry Cookies,41mg,1g
328,632118,Almond Cranberry Cookies,41mg,1g
329,632118,Almond Cranberry Cookies,41mg,1g
330,632118,Almond Cranberry Cookies,41mg,1g
331,632118,Almond Cranberry Cookies,41mg,1g
332,632118,Almond Cranberry Cookies,41mg,1g
333,632118,Almond Cranberry Cookies,41mg,1g
334,632118,Almond Cranberry Cookies,41mg,1g
335,632118,Almond Cranberry Cookies,41mg,1g
336,632118,Almond Cranberry Cookies,41mg,1g
337,632118,Almond Cranberry Cookies,41mg,1g
338,632118,Almond Cranberry Cookies,41mg,1g
339,632118,Almond Cranberry Cookies,41mg,1g
340,632118,Almond Cranberry Cookies,41mg,1g
341,632118,Almond Cranberry Cookies,41mg,1g
342,632118,Almond Cranberry Cookies,41mg,1g
343,632118,Almond Cranberry Cookies,41mg,1g
344,632118,Almond Cranberry Cookies,41mg,1g
345,632118,Almond Cranberry Cookies,41mg,1g
346,632118,Almond Cranberry Cookies,41mg,1g
347,632118,Almond Cranberry Cookies,41mg,1g
348,632118,Almond Cranberry Cookies,41mg,1g
349,632118,Almond Cranberry Cookies,41mg,1g
350,632118,Almond Cranberry Cookies,41mg,1g
351,632118,Almond Cranberry Cookies,41mg,1g
352,632118,Almond Cranberry Cookies,41mg,1g
353,632118,Almond Cranberry Cookies,41mg,1g
354,632118,Almond Cranberry Cookies,41mg,1g
355,632118,Almond Cranberry Cookies,41mg,1g
356,632118,Almond Cranberry Cookies,41mg,1g
357,632118,Almond Cranberry Cookies,41mg,1g
358,632118,Almond Cranberry Cookies,41mg,1g
359,632118,Almond Cranberry Cookies,41mg,1g
360,632118,Almond Cranberry Cookies,41mg,1g
361,632118,Almond Cranberry Cookies,41mg,1g
362,632118,Almond Cranberry Cookies,41mg,1g
363,632118,Almond Cranberry Cookies,41mg,1g
364,632118,Almond Cranberry Cookies,41mg,1g
365,632118,Almond Cranberry Cookies,41mg,1g
366,632118,Almond Cranberry Cookies,41mg,1g
367,632118,Almond Cranberry Cookies,41mg,1g
368,632118,Almond Cranberry Cookies,41mg,1g
369,632118,Almond Cranberry Cookies,41mg,1g
370,632118,Almond Cranberry Cookies,41mg,1g
371,632118,Almond Cranberry Cookies,41mg,1g
372,632118,Almond Cranberry Cookies,41mg,1g
373,632118,Almond Cranberry Cookies,41mg,1g
374,632118,Almond Cranberry Cookies,41mg,1g
375,632118,Almond Cranberry Cookies,41mg,1g
376,632118,Almond Cranberry Cookies,41mg,1g
377,632118,Almond Cranberry Cookies,41mg,1g
378,632118,Almond Cranberry Cookies,41mg,1g
379,632118,Almond Cranberry Cookies,41mg,1g
380,632118,Almond Cranberry Cookies,41mg,1g
381,632118,Almond Cranberry Cookies,41mg,1g
382,632118,Almond Cranberry Cookies,41mg,1g
383,632118,Almond Cranberry Cookies,41mg,1g
