,Spoonacular Recipe ID,Recipe,Recipe Image URL,Recipe Image Type,Recipe Calories,Recipe Protein Content (grams),Recipe Fat Content (grams),Recipe Carbs Content (grams)
88,635235,Blackberry Pie With Lemon Verbena Whip Cream,https://spoonacular.com/recipeImages/635235-312x231.jpg,jpg,287,4g,20g,25g
89,654120,"Orzo With Cherry Tomatoes, Zucchini and Queso Fresco",https://spoonacular.com/recipeImages/654120-312x231.jpg,jpg,532,16g,24g,64g
90,663813,Tricolor Rotini pasta Salad,https://spoonacular.com/recipeImages/663813-312x231.jpg,jpg,146,6g,5g,22g
91,637325,Cavatappi pasta with salmon crab surimi,https://spoonacular.com/recipeImages/637325-312x231.jpg,jpg,725,40g,24g,84g
92,644148,Gambas Al Ajo,https://spoonacular.com/recipeImages/644148-312x231.jpg,jpg,106,5g,8g,5g
93,658535,Roasted Carrot Cream Pasta,https://spoonacular.com/recipeImages/658535-312x231.jpg,jpg,478,13g,26g,50g
94,664489,Vegan Strawberry Cupcakes,https://spoonacular.com/recipeImages/664489-312x231.jpg,jpg,238,3g,16g,22g
95,641123,Curry Fish With Peas,https://spoonacular.com/recipeImages/641123-312x231.jpg,jpg,623,65g,6g,74g
96,661689,Stir-Fried Shredded Chicken and Mushrooms With Balsamic,https://spoonacular.com/recipeImages/661689-312x231.jpg,jpg,1043,48g,80g,38g
97,659672,Seared Scallop and Watermelon Salad With Sparkling Mint Vinaigrette,https://spoonacular.com/recipeImages/659672-312x231.jpg,jpg,265,4g,17g,29g
98,660128,Simple Rendang,https://spoonacular.com/recipeImages/660128-312x231.jpg,jpg,79,5g,5g,5g
99,642673,Fenugreek Raisin Apple Curry,https://spoonacular.com/recipeImages/642673-312x231.jpg,jpg,613,2g,22g,110g
100,637923,Chicken and Penne Pasta With Garlic Rosemary Sauce,https://spoonacular.com/recipeImages/637923-312x231.jpg,jpg,884,88g,18g,88g
101,664083,Turkey-Stuffed Portabella Mushrooms,https://spoonacular.com/recipeImages/664083-312x231.jpg,jpg,525,38g,32g,25g
102,664551,Vegetable Fried Wontons,https://spoonacular.com/recipeImages/664551-312x231.jpg,jpg,29,1g,0g,5g
103,648850,Keylime Cheesecake Pie,https://spoonacular.com/recipeImages/648850-312x231.jpg,jpg,296,6g,16g,33g
104,641649,Dried Cranberry Chocolate Cookies,https://spoonacular.com/recipeImages/641649-312x231.jpg,jpg,178,3g,5g,30g
105,647142,Homestlye Chicken Noodle Casserole,https://spoonacular.com/recipeImages/647142-312x231.jpg,jpg,535,31g,26g,44g
106,637165,Carrot and Ginger Soup,https://spoonacular.com/recipeImages/637165-312x231.jpg,jpg,110,2g,4g,18g
107,645825,Grilled Prawns (Shrimp) With Rocket (Arugula) and Campari Tomatoes,https://spoonacular.com/recipeImages/645825-312x231.jpg,jpg,215,25g,9g,8g
108,1096010,Egg Salad Wrap,https://spoonacular.com/recipeImages/1096010-312x231.jpg,jpg,570,26g,33g,37g
109,632543,Apple Footballs,https://spoonacular.com/recipeImages/632543-312x231.jpg,jpg,518,5g,27g,61g
