"Food code","Main food description","WWEIA Category description","Recipe"
"27313210","Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Tomato products  canned  sauce, Noodles  egg  enriched  cooked, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Vegetable oil  NFS, Salt  table  iodized"
"27313220","Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Noodles  egg  enriched  cooked, Tomato products  canned  sauce, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Vegetable oil  NFS, Salt  table  iodized"
"27313310","Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Soup  cream of mushroom  canned  condensed, Milk  NFS, Noodles  egg  enriched  cooked, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Vegetable oil  NFS, Salt  table  iodized"
"27313320","Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Soup  cream of mushroom  canned  condensed, Milk  NFS, Noodles  egg  enriched  cooked, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Vegetable oil  NFS, Salt  table  iodized"
"27313410","Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Gravy  chicken  canned or bottled  ready-to-serve, Noodles  egg  enriched  cooked, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Vegetable oil  NFS, Salt  table  iodized"
"27313420","Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Gravy  chicken  canned or bottled  ready-to-serve, Noodles  egg  enriched  cooked, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Vegetable oil  NFS, Salt  table  iodized"
"27315010","Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Rice  white  long-grain  regular  enriched  cooked, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Vegetable oil  NFS, Salt  table  iodized"
"27315020","Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Rice  white  long-grain  regular  enriched  cooked, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Vegetable oil  NFS, Salt  table  iodized"
"27315210","Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Tomato products  canned  sauce, Rice  white  long-grain  regular  enriched  cooked, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Vegetable oil  NFS, Salt  table  iodized"
"27315220","Beef, rice, and vegetables excluding carrots, broccoli, and/or dark-green leafy; tomato-based sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Tomato products  canned  sauce, Rice  white  long-grain  regular  enriched  cooked, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Vegetable oil  NFS, Salt  table  iodized"
"27315310","Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Soup  cream of mushroom  canned  condensed, Milk  NFS, Rice  white  long-grain  regular  enriched  cooked, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Vegetable oil  NFS, Salt  table  iodized"
"27315320","Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Soup  cream of mushroom  canned  condensed, Milk  NFS, Rice  white  long-grain  regular  enriched  cooked, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Vegetable oil  NFS, Salt  table  iodized"
"27315330","Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Cheese sauce  prepared from recipe, Rice  white  long-grain  regular  enriched  cooked, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Salt  table  iodized"
"27315340","Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Cheese sauce  prepared from recipe, Rice  white  long-grain  regular  enriched  cooked, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Salt  table  iodized"
"27315410","Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Gravy  chicken  canned or bottled  ready-to-serve, Rice  white  long-grain  regular  enriched  cooked, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Vegetable oil  NFS, Salt  table  iodized"
"28140810","Chicken, fried, with potatoes, vegetable, dessert, frozen meal","Poultry mixed dishes","Chicken  NS as to part  fried  coated  skin / coating eaten, Potatoes  mashed  ready-to-eat, Classic mixed vegetables  frozen  cooked  no added fat, Cobbler  apple, Salt  table  iodized"
"27315420","Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Gravy  chicken  canned or bottled  ready-to-serve, Rice  white  long-grain  regular  enriched  cooked, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Vegetable oil  NFS, Salt  table  iodized"
"27315510","Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce","Stir-fry and soy-based sauce mixtures","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Vegetable oil  NFS, Garlic  raw, Ginger root  raw, Onions  cooked  boiled  drained  without salt, Onions  spring or scallions (includes tops and bulb)  raw, Soy sauce made from soy and wheat (shoyu), Soup  beef broth or bouillon canned  ready-to-serve, Rice  white  long-grain  regular  enriched  cooked, Carrots  cooked  boiled  drained  without salt, Broccoli  cooked  as ingredient"
"27315520","Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce","Stir-fry and soy-based sauce mixtures","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Vegetable oil  NFS, Garlic  raw, Ginger root  raw, Onions  cooked  boiled  drained  without salt, Onions  spring or scallions (includes tops and bulb)  raw, Soy sauce made from soy and wheat (shoyu), Soup  beef broth or bouillon canned  ready-to-serve, Rice  white  long-grain  regular  enriched  cooked, Peppers  sweet  green  cooked  boiled  drained  without salt, Green beans  cooked  as ingredient, Mushrooms  white  cooked  boiled  drained  without salt"
"27317100","Beef, dumplings, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Dumpling  plain, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Gravy  chicken  canned or bottled  ready-to-serve, Vegetable oil  NFS"
"27317110","Beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Dumpling  plain, Gravy  chicken  canned or bottled  ready-to-serve, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Vegetable oil  NFS"
"27320025","Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce","Meat mixed dishes","Pork  fresh  loin  whole  separable lean only  cooked  roasted, Vegetable oil  NFS, Noodles  egg  enriched  cooked, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Salt  table  iodized"
"27320027","Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","Meat mixed dishes","Pork  fresh  loin  whole  separable lean only  cooked  roasted, Vegetable oil  NFS, Noodles  egg  enriched  cooked, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Salt  table  iodized"
"27320030","Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce","Meat mixed dishes","Pork  fresh  loin  whole  separable lean only  cooked  roasted, Cheese sauce  prepared from recipe, Noodles  egg  enriched  cooked, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Salt  table  iodized"
"27320040","Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","Meat mixed dishes","Pork  fresh  loin  whole  separable lean only  cooked  roasted, Vegetable oil  NFS, Potatoes  boiled  cooked without skin  flesh  without salt, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Salt  table  iodized"
"27320070","Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","Meat mixed dishes","Pork  fresh  loin  whole  separable lean only  cooked  roasted, Tomato products  canned  sauce, Noodles  egg  enriched  cooked, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Vegetable oil  NFS, Salt  table  iodized"
"27320080","Sausage, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce","Meat mixed dishes","Pork sausage  link/patty  cooked  pan-fried, Tomato products  canned  sauce, Noodles  egg  enriched  cooked, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Vegetable oil  NFS, Salt  table  iodized"
"27320090","Sausage, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","Meat mixed dishes","Pork sausage  link/patty  cooked  pan-fried, Tomato products  canned  sauce, Noodles  egg  enriched  cooked, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Vegetable oil  NFS, Salt  table  iodized"
"27320100","Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","Meat mixed dishes","Pork  fresh  loin  whole  separable lean only  cooked  roasted, Tomato products  canned  sauce, Potatoes  boiled  cooked without skin  flesh  without salt, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  cooked  as ingredient, Vegetable oil  NFS, Salt  table  iodized"
"27320110","Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce","Meat mixed dishes","Pork  fresh  loin  whole  separable lean only  cooked  roasted, Tomato products  canned  sauce, Potatoes  boiled  cooked without skin  flesh  without salt, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Vegetable oil  NFS, Salt  table  iodized"
