"Food code","Main food description","WWEIA Category description","Recipe"
"28141010","Chicken, fried, with potatoes, vegetable, dessert, frozen meal, large meat portion","Poultry mixed dishes","Chicken  NS as to part  fried  coated  skin / coating eaten, Potatoes  french fried  all types  salt added in processing  frozen  home-prepared  oven heated, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Apple  baked, Beverages  water  tap  municipal, Wheat flour  white  all-purpose  enriched  bleached, Vegetable oil  NFS, Sugars  granulated, Margarine  regular  80% fat  composite  stick  with salt, Egg  whole  cooked  hard-boiled, Cereals  oats  regular and quick  not fortified  dry, Sugars  brown, Raisins  dark  seedless (Includes foods for USDA's Food Distribution Program), Salt  table  iodized, Cornstarch, Whey  sweet  dried"
"28141201","Teriyaki chicken with rice and vegetable, diet frozen meal","Stir-fry and soy-based sauce mixtures","Rice bowl with chicken  frozen entree  prepared (includes fried  teriyaki  and sweet and sour varieties)"
"28141250","Chicken with rice and vegetable, diet frozen meal","Poultry mixed dishes","Chicken  broiler  rotisserie  BBQ  breast  meat only, Beverages  water  tap  municipal, Mushrooms  cooked  as ingredient, Oil  soybean  salad or cooking, Syrups  corn  light, Lemon juice  raw, Cornstarch, Salt  table  iodized, Wheat flour  white  all-purpose  enriched  bleached, Fat  chicken, Rice  white  long-grain  regular  enriched  cooked, Green beans  cooked  as ingredient, Onions  cooked  as ingredient, Sugars  granulated"
"28141650","Chicken and vegetables au gratin with rice, diet frozen entree","Poultry mixed dishes","Chicken  broiler  rotisserie  BBQ  breast  meat only, Cream  fluid  half and half, Cauliflower  frozen  cooked  boiled  drained  without salt, Soup  chicken broth  ready-to-serve, Cheese  swiss, Mushrooms  cooked  as ingredient, Butter  salted, Leeks  (bulb and lower leaf-portion)  raw, Beverages  water  tap  municipal, Beverages  water  tap  municipal, Onions  cooked  as ingredient, Cornstarch, Lemon juice from concentrate  canned or bottled, Salt  table  iodized, Wheat flour  white  all-purpose  unenriched, Spinach  cooked  as ingredient, Rice  white  long-grain  regular  enriched  cooked"
"28143020","Chicken and vegetable entree with rice, diet frozen meal","Poultry mixed dishes","Chicken  NS as to part and cooking method  NS as to skin eaten, Rice  white  long-grain  regular  enriched  cooked, Beverages  water  tap  municipal, Asian stir fry vegetables  cooked  no added fat, Soy sauce made from soy and wheat (shoyu), Sugars  brown, Cornstarch, Sugars  granulated, Vegetable oil  NFS, Oil  sesame  salad or cooking, Spices  garlic powder, Sauce  tomato chili sauce  bottled  with salt"
"28143130","Chicken and vegetable entree with noodles, frozen meal","Poultry mixed dishes","Beverages  water  tap  municipal, Chicken  NS as to part and cooking method  NS as to skin eaten, Tomatoes  cooked  as ingredient, Onions  cooked  as ingredient, Green pepper  cooked  as ingredient, Tomato products  canned  paste  without salt added (Includes foods for USDA's Food Distribution Program), Mushrooms  cooked  as ingredient, Sugars  brown, Salt  table  iodized, Pasta  cooked  enriched  without added salt, Oil  soybean  salad or cooking"
"28143150","Chicken and vegetable entree with noodles, diet frozen meal","Poultry mixed dishes","Tomatoes  cooked  as ingredient, Chicken  NS as to part and cooking method  NS as to skin eaten, Broccoli  cooked  as ingredient, Onions  cooked  as ingredient, Mushrooms  cooked  as ingredient, Summer squash  cooked  as ingredient, Cauliflower  cooked  as ingredient, Carrots  cooked  as ingredient, Peas  green  frozen  cooked  boiled  drained  without salt, Cornstarch, Salt  table  iodized, Butter  salted, Sugars  granulated, Pasta  cooked  enriched  without added salt, Cheese  parmesan  grated, Oil  corn  industrial and retail  all purpose salad or cooking"
"28143170","Chicken in cream sauce with noodles and vegetable, frozen meal","Poultry mixed dishes","Chicken  broiler  rotisserie  BBQ  breast  meat only, Soup  chicken broth  ready-to-serve, Cream  fluid  half and half, Celery  raw, Carrots  cooked  as ingredient, Butter  salted, Mushrooms  cooked  as ingredient, Cornstarch, Fat  chicken, Peas  green  frozen  cooked  boiled  drained  without salt, Beverages  water  tap  municipal, Onions  cooked  as ingredient, Salt  table  iodized, Noodles  egg  enriched  cooked, Bread  crumbs  dry  grated  plain, Cheese  parmesan  grated, Oil  corn  industrial and retail  all purpose salad or cooking"
"28143180","Chicken in butter sauce with potatoes and vegetable, diet frozen meal","Poultry mixed dishes","Chicken  broiler  rotisserie  BBQ  breast  meat only, Potatoes  mashed  dehydrated  flakes without milk  dry form, Green beans  cooked  as ingredient, Beverages  water  tap  municipal, Soup  chicken broth  canned  condensed, Mushrooms  canned  drained solids, Butter  salted, Milk  nonfat  fluid  without added vitamin A and vitamin D (fat free or skim), Salt  table  iodized"
"28143190","Chicken in mushroom sauce, white and wild rice, vegetable, frozen meal","Poultry mixed dishes","Chicken  broiler  rotisserie  BBQ  breast  meat only, Rice  white  long-grain  regular  enriched  cooked, Wild rice  cooked, Carrots  cooked  as ingredient, Broccoli  cooked  as ingredient, Red pepper  cooked  as ingredient, Soup  cream of mushroom  canned  condensed, Beverages  water  tap  municipal, Butter  salted, Salt  table  iodized"
"28143200","Chicken in soy-based sauce, rice and vegetables, frozen meal","Stir-fry and soy-based sauce mixtures","Chicken  broiler  rotisserie  BBQ  breast  meat only, Rice  white  long-grain  regular  enriched  cooked, Beverages  water  tap  municipal, Green beans  cooked  as ingredient, Mushrooms  cooked  as ingredient, Cornstarch, Red pepper  cooked  as ingredient, Leeks  (bulb and lower leaf-portion)  raw, Green pepper  cooked  as ingredient, Chives  raw, Soy sauce made from soy and wheat (shoyu), Sugars  granulated, Garlic  raw, Salt  table  iodized, Butter  salted"
"28144100","Chicken and vegetable entree with noodles and cream sauce, frozen meal","Poultry mixed dishes","Milk  whole  3.25% milkfat  without added vitamin A and vitamin D, Chicken  NS as to part and cooking method  NS as to skin eaten, Cream  sour  cultured, Cream  fluid  half and half, Cheese  cheddar (Includes foods for USDA's Food Distribution Program), Beverages  water  tap  municipal, Onions  cooked  as ingredient, Mushrooms  cooked  as ingredient, Fat  chicken, Wheat flour  white  all-purpose  unenriched, Noodles  egg  enriched  cooked, Broccoli  cooked  as ingredient, Butter  salted, Oil  corn  industrial and retail  all purpose salad or cooking, Cheese  parmesan  grated, Salt  table  iodized"
"28145100","Turkey with gravy, dressing, vegetable and fruit, diet frozen meal","Poultry mixed dishes","Turkey  whole  meat only  cooked  roasted, Peas and carrots  frozen  cooked  no added fat, Beverages  water  tap  municipal, Soup  chicken broth  ready-to-serve, Pumpkin  canned  without salt, Raisins  dark  seedless (Includes foods for USDA's Food Distribution Program), Bread  white  commercially prepared (includes soft bread crumbs), Onions  cooked  boiled  drained  without salt, Tomatoes  cooked  as ingredient, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Celery  raw, Cornstarch, Butter  salted, Fat  chicken, Sugars  granulated, Vegetable oil  NFS, Spices  parsley  dried, Whey  sweet  dried, Salt  table  iodized"
"75649010","Vegetable soup, canned, prepared with water or ready-to-serve","Soups","Soup  chunky vegetable  canned  ready-to-serve"
"28145110","Turkey with vegetable, stuffing, diet frozen meal","Poultry mixed dishes","Turkey  whole  breast  meat only  cooked  roasted, Beverages  water  tap  municipal, Beans  snap  green  frozen  cooked  boiled  drained without salt, Carrots  frozen  cooked  boiled  drained  without salt, Soup  chicken broth  ready-to-serve, Croutons  seasoned, Onions  cooked  as ingredient, Celery  raw, Raisins  dark  seedless (Includes foods for USDA's Food Distribution Program), Cornstarch, Tomato products  canned  paste  without salt added (Includes foods for USDA's Food Distribution Program), Fat  chicken, Sugars  granulated, Salt  table  iodized, Spices  parsley  dried, Spices  garlic powder"
"28145210","Turkey with gravy, dressing, potatoes, vegetable, frozen meal","Poultry mixed dishes","Turkey  stuffing  mashed potatoes w/gravy  assorted vegetables  frozen  microwaved"
"28150510","Fish in lemon-butter sauce with starch item, vegetable, frozen meal","Seafood mixed dishes","Fish  cod  Pacific  raw (may have been previously frozen), Rice  white  long-grain  regular  enriched  cooked, Peas  green  frozen  cooked  boiled  drained  without salt, Beverages  water  tap  municipal, Oil  cottonseed  salad or cooking, Butter  salted, Mushrooms  canned  drained solids, Onions  cooked  boiled  drained  without salt, Cornstarch, Salt  table  iodized, Lemon juice from concentrate  canned or bottled"
"28154010","Shrimp and vegetables in sauce with noodles, diet frozen meal","Seafood mixed dishes","Crustaceans  shrimp  mixed species  canned, Soup  chicken broth  ready-to-serve, Carrots  frozen  cooked  boiled  drained  without salt, Beverages  Wine  non-alcoholic, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Cauliflower  frozen  cooked  boiled  drained  without salt, Red pepper  cooked  as ingredient, Mushrooms  white  cooked  boiled  drained  without salt, Butter  salted, Beverages  water  tap  municipal, Cornstarch, Onions  cooked  as ingredient, Salt  table  iodized, Sugars  granulated, Pasta  cooked  enriched  without added salt, Oil  corn  industrial and retail  all purpose salad or cooking"
"28160310","Meat loaf with potatoes, vegetable, frozen meal","Meat mixed dishes","Beef  ground  75% lean meat / 25% fat  loaf  cooked  baked, Potatoes  mashed  ready-to-eat, Beverages  water  tap  municipal, Green beans  cooked  as ingredient, Tomato products  canned  puree  without salt added, Tomatoes  cooked  as ingredient, Milk  nonfat  fluid  without added vitamin A and vitamin D (fat free or skim), Bread  crumbs  dry  grated  plain, Onions  cooked  as ingredient, Margarine  regular  80% fat  composite  stick  with salt, Vegetable oil  NFS, Salt  table  iodized, Sugars  granulated, Milk  dry  nonfat  regular  without added vitamin A and vitamin D"
"28315050","Beef vegetable soup with potato, pasta, or rice, chunky style, canned, or ready-to-serve","Soups","Soup  beef and vegetables  canned  ready-to-serve"
"28315140","Beef vegetable soup, home recipe, Mexican style","Soups","Beef  chuck  arm pot roast  separable lean only  trimmed to 1/8"" fat  choice  cooked  braised, Vegetable oil  NFS, Onions  raw, Corn  sweet  yellow  raw, Tomatoes  red  ripe  canned  packed in tomato juice, Carrots  raw, Potatoes  flesh and skin  raw, Cabbage  raw, Salt  table  iodized, Spices  pepper  black, Coriander (cilantro) leaves  raw, Soup  beef broth or bouillon canned  ready-to-serve"
"28320140","Ham, noodle, and vegetable soup, Puerto Rican style","Soups","Pork  cured  ham  whole  separable lean only  unheated, Pork  cured  ham and water product  whole  boneless  separable lean only  unheated, Pork  cured  ham -- water added  whole  boneless  separable lean only  unheated, Pork  cured  ham with natural juices  whole  boneless  separable lean only  unheated, Beverages  water  tap  drinking, Salt  table  iodized, Onions  raw, Peppers  sweet  green  raw, Tomatoes  red  ripe  raw  year round average, Cabbage  raw, Potatoes  flesh and skin  raw, Pumpkin  raw, Noodles  egg  dry  enriched"
"28320160","Pork vegetable soup with potato, pasta, or rice, stew type, chunky style","Soups","Soup  beef broth or bouillon canned  ready-to-serve, Onions  raw, Carrots  raw, Celery  raw, Parsley  fresh, Vegetable oil  NFS, Pork  fresh  loin  whole  separable lean only  cooked  braised, Beans  snap  green  raw, Peas  green  frozen  cooked  boiled  drained  without salt, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Tomatoes  red  ripe  raw  year round average, Potatoes  flesh and skin  raw"
"28320300","Pork with vegetable excluding carrots, broccoli and/or dark-green leafy; soup, Asian Style","Soups","Soup  beef broth or bouillon canned  ready-to-serve, Garlic  raw, Ginger root  raw, Soy sauce made from soy and wheat (shoyu), Onions  spring or scallions (includes tops and bulb)  raw, Vegetable oil  NFS, Spices  pepper  black, Mushrooms  shiitake  cooked  without salt, Cabbage  cooked  as ingredient, Peas  edible-podded  frozen  cooked  boiled  drained  without salt, Pork  fresh  loin  whole  separable lean only  cooked  braised"
"28331110","Lamb, pasta, and vegetable soup, Puerto Rican style","Soups","Lamb  shoulder  whole (arm and blade)  separable lean and fat  trimmed to 1/4"" fat  choice  raw, Beverages  water  tap  drinking, Salt  table  iodized, Onions  raw, Tomatoes  red  ripe  raw  year round average, Peppers  sweet  green  raw, Cabbage  raw, Potatoes  flesh and skin  raw, Pumpkin  raw, Noodles  egg  dry  enriched"
"28340580","Chicken or turkey soup with vegetables, broccoli, carrots, celery, potatoes and onions, Asian style","Soups","Soup  chicken broth  ready-to-serve, Garlic  raw, Ginger root  raw, Soy sauce made from soy and wheat (shoyu), Onions  spring or scallions (includes tops and bulb)  raw, Vegetable oil  NFS, Spices  pepper  black, Carrots  cooked  boiled  drained  without salt, Broccoli  chinese  raw, Chicken  NS as to part  rotisserie  skin not eaten"
"28340600","Chicken or turkey vegetable soup, canned, prepared with water or ready-to-serve","Soups","Soup  chicken and vegetable  canned  ready-to-serve"
"28340610","Chicken or turkey vegetable soup, stew type","Soups","Soup  chicken  canned  chunky  ready-to-serve"
"28340630","Chicken or turkey vegetable soup with rice, stew type, chunky style","Soups","Soup  chicken rice  canned  chunky  ready-to-serve"
"28340640","Chicken or turkey vegetable soup with noodles, stew type, chunky style, canned or ready-to-serve","Soups","Soup  chicken  canned  chunky  ready-to-serve"
"28340660","Chicken or turkey vegetable soup, home recipe","Soups","Soup  chicken broth  ready-to-serve, Onions  raw, Carrots  raw, Celery  raw, Parsley  fresh, Vegetable oil  NFS, Chicken  NS as to part  rotisserie  skin not eaten, Beans  snap  green  raw, Peas  green  frozen  cooked  boiled  drained  without salt, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Tomatoes  red  ripe  raw  year round average, Potatoes  flesh and skin  raw"
"28340670","Chicken or turkey vegetable soup with rice, home recipe, Mexican style","Soups","Chicken  NS as to part  rotisserie  skin not eaten, Vegetable oil  NFS, Onions  raw, Corn  sweet  yellow  raw, Tomatoes  red  ripe  canned  packed in tomato juice, Carrots  raw, Potatoes  flesh and skin  raw, Cabbage  raw, Salt  table  iodized, Spices  pepper  black, Coriander (cilantro) leaves  raw, Rice  white  long-grain  regular  enriched  cooked, Soup  stock  chicken  home-prepared"
"75649040","Vegetable soup, reduced sodium, canned, ready to serve","Soups","Soup  chunky vegetable  reduced sodium  canned  ready-to-serve"
"28340800","Chicken or turkey soup with vegetables and fruit, Asian Style","Soups","Soup  chicken broth  ready-to-serve, Tomatoes  cooked  as ingredient, Pineapple  canned  water pack  solids and liquids, Tofu  soft  prepared with calcium sulfate and magnesium chloride (nigari), Crustaceans  shrimp  mixed species  cooked  moist heat (may contain additives to retain moisture), Sugars  granulated, Sauce  fish  ready-to-serve, Okra  frozen  cooked  boiled  drained  without salt, Mung beans  mature seeds  sprouted  cooked  boiled  drained  without salt, Chicken  NS as to part  rotisserie  skin not eaten"
"28350310","Turtle and vegetable soup","Soups","Soup  beef broth or bouillon canned  ready-to-serve, Onions  raw, Carrots  raw, Celery  raw, Parsley  fresh, Vegetable oil  NFS, Turtle  green  raw, Beans  snap  green  raw, Peas  green  frozen  cooked  boiled  drained  without salt, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Tomatoes  red  ripe  raw  year round average, Potatoes  flesh and skin  raw"
"28351110","Fish and vegetable soup, no potatoes, Mexican style","Soups","Fish broth, Onions  raw, Vegetable oil  NFS, Fish  cod  Pacific  raw (may have been previously frozen), Tomatoes  red  ripe  raw  year round average, Salt  table  iodized, Carrots  raw, Celery  raw"
"28351160","Codfish, rice, and vegetable soup, Puerto Rican style","Soups","Fish  cod  Atlantic  canned  solids and liquid, Onions  raw, Peppers  sweet  green  raw, Tomatoes  red  ripe  raw  year round average, Garlic  raw, Rice  white  long-grain  regular  enriched  cooked, Salt  table  iodized, Beverages  water  tap  drinking, Olives  pickled  canned or bottled  green, Tomato products  canned  puree  without salt added, Oil  olive  salad or cooking"
"28355450","Seafood soup with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy","Soups","Fish broth, Onions  raw, Carrots  raw, Celery  raw, Parsley  fresh, Vegetable oil  NFS, Fish  cod  Pacific  cooked  dry heat (may contain additives to retain moisture), Beans  snap  green  raw, Peas  green  frozen  cooked  boiled  drained  without salt, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Tomatoes  red  ripe  raw  year round average, Potatoes  flesh and skin  raw"
"28355460","Seafood soup with potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy","Soups","Fish broth, Onions  raw, Celery  raw, Parsley  fresh, Vegetable oil  NFS, Fish  cod  Pacific  cooked  dry heat (may contain additives to retain moisture), Beans  snap  green  raw, Peas  green  frozen  cooked  boiled  drained  without salt, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Tomatoes  red  ripe  raw  year round average, Potatoes  flesh and skin  raw"
"28355470","Seafood soup with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes","Soups","Fish broth, Onions  raw, Carrots  raw, Celery  raw, Parsley  fresh, Vegetable oil  NFS, Fish  cod  Pacific  cooked  dry heat (may contain additives to retain moisture), Beans  snap  green  raw, Peas  green  frozen  cooked  boiled  drained  without salt, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Tomatoes  red  ripe  raw  year round average"
"28355480","Seafood soup with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes","Soups","Fish broth, Onions  raw, Celery  raw, Parsley  fresh, Vegetable oil  NFS, Fish  cod  Pacific  cooked  dry heat (may contain additives to retain moisture), Beans  snap  green  raw, Peas  green  frozen  cooked  boiled  drained  without salt, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Tomatoes  red  ripe  raw  year round average"
"28360210","Spanish vegetable soup, Puerto Rican style","Soups","Chicken  NS as to part  rotisserie  skin not eaten, Beverages  water  tap  drinking, Beans  black  mature seeds  raw, Ground beef  raw, Pork  cured  ham  center slice  country-style  separable lean only  raw, Onions  raw, Garlic  raw, Turnips  raw, Pork  cured  salt pork  raw, Tomatoes  red  ripe  raw  year round average, Salt  table  iodized, Potatoes  flesh and skin  raw, Cabbage  raw, Beverages  water  tap  drinking"
"32130430","Egg omelet or scrambled egg, with dark-green vegetables, fat added","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Dark green vegetables as ingredient in omelet"
"32130440","Egg omelet or scrambled egg, with dark-green vegetables, no added fat","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Dark green vegetables as ingredient in omelet"
"32130450","Egg omelet or scrambled egg, with dark-green vegetables, NS as to fat","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Dark green vegetables as ingredient in omelet"
"32130460","Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, fat added","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Tomatoes as ingredient in omelet, Dark green vegetables as ingredient in omelet"
"32130470","Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, no fat added","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Tomatoes as ingredient in omelet, Dark green vegetables as ingredient in omelet"
"32130480","Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, NS as to fat","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Tomatoes as ingredient in omelet, Dark green vegetables as ingredient in omelet"
"32130490","Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, fat added","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Other vegetables as ingredient in omelet"
"32130500","Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, no added fat","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Other vegetables as ingredient in omelet"
"32130510","Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, NS as to fat","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Other vegetables as ingredient in omelet"
"32130630","Egg omelet or scrambled egg, with cheese and dark-green vegetables, fat added","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Cheese as ingredient in sandwiches, Dark green vegetables as ingredient in omelet"
"32130640","Egg omelet or scrambled egg, with cheese and dark-green vegetables, no added fat","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Cheese as ingredient in sandwiches, Dark green vegetables as ingredient in omelet"
"32130650","Egg omelet or scrambled egg, with cheese and dark-green vegetables, NS as to fat","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Cheese as ingredient in sandwiches, Dark green vegetables as ingredient in omelet"
"32130660","Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, fat added","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Cheese as ingredient in sandwiches, Tomatoes as ingredient in omelet, Dark green vegetables as ingredient in omelet"
"32130710","Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, NS as to fat","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Cheese as ingredient in sandwiches, Other vegetables as ingredient in omelet"
"32130830","Egg omelet or scrambled egg, with meat and dark-green vegetables, fat added","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Breakfast meat as ingredient in omelet, Dark green vegetables as ingredient in omelet"
"32130840","Egg omelet or scrambled egg, with meat and dark-green vegetables, no added fat","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Breakfast meat as ingredient in omelet, Dark green vegetables as ingredient in omelet"
"32130850","Egg omelet or scrambled egg, with meat and dark-green vegetables, NS as to fat","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Breakfast meat as ingredient in omelet, Dark green vegetables as ingredient in omelet"
"32130860","Egg omelet or scrambled egg, with meat, tomatoes, and dark-green vegetables, fat added","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Breakfast meat as ingredient in omelet, Tomatoes as ingredient in omelet, Dark green vegetables as ingredient in omelet"
"32130870","Egg omelet or scrambled egg, with meat, tomatoes, and dark-green vegetables, no added fat","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Breakfast meat as ingredient in omelet, Tomatoes as ingredient in omelet, Dark green vegetables as ingredient in omelet"
"32130880","Egg omelet or scrambled egg, with meat, tomatoes, and dark-green vegetables, NS as to fat","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Breakfast meat as ingredient in omelet, Tomatoes as ingredient in omelet, Dark green vegetables as ingredient in omelet"
"32130890","Egg omelet or scrambled egg, with meat and vegetables other than dark-green and/or tomatoes, fat added","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Breakfast meat as ingredient in omelet, Other vegetables as ingredient in omelet"
"32130900","Egg omelet or scrambled egg, with meat and vegetables other than dark-green and/or tomatoes, no added fat","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Breakfast meat as ingredient in omelet, Other vegetables as ingredient in omelet"
"32130910","Egg omelet or scrambled egg, with meat and vegetables other than dark-green and/or tomatoes, NS as to fat","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Breakfast meat as ingredient in omelet, Other vegetables as ingredient in omelet"
"32131030","Egg omelet or scrambled egg, with cheese, meat, and dark-green vegetables, fat added","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Cheese as ingredient in sandwiches, Breakfast meat as ingredient in omelet, Dark green vegetables as ingredient in omelet"
"32131040","Egg omelet or scrambled egg, with cheese, meat, and dark-green vegetables, no added fat","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Cheese as ingredient in sandwiches, Breakfast meat as ingredient in omelet, Dark green vegetables as ingredient in omelet"
"32131050","Egg omelet or scrambled egg, with cheese, meat, and dark-green vegetables, NS as to fat","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Cheese as ingredient in sandwiches, Breakfast meat as ingredient in omelet, Dark green vegetables as ingredient in omelet"
"32131060","Egg omelet or scrambled egg, with cheese, meat, tomatoes, and dark-green vegetables, fat added","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Cheese as ingredient in sandwiches, Breakfast meat as ingredient in omelet, Tomatoes as ingredient in omelet, Dark green vegetables as ingredient in omelet"
"32131070","Egg omelet or scrambled egg, with cheese, meat, tomatoes, and dark-green vegetables, no added fat","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Cheese as ingredient in sandwiches, Breakfast meat as ingredient in omelet, Tomatoes as ingredient in omelet, Dark green vegetables as ingredient in omelet"
"32131080","Egg omelet or scrambled egg, with cheese, meat, tomatoes, and dark-green vegetables, NS as to fat","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Cheese as ingredient in sandwiches, Breakfast meat as ingredient in omelet, Tomatoes as ingredient in omelet, Dark green vegetables as ingredient in omelet"
"32131090","Egg omelet or scrambled egg, with cheese, meat, and vegetables other than dark-green and/or tomatoes, fat added","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Cheese as ingredient in sandwiches, Breakfast meat as ingredient in omelet, Other vegetables as ingredient in omelet"
"32131100","Egg omelet or scrambled egg, with cheese, meat, and vegetables other than dark-green and/or tomatoes, no added fat","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Cheese as ingredient in sandwiches, Breakfast meat as ingredient in omelet, Other vegetables as ingredient in omelet"
"32131110","Egg omelet or scrambled egg, with cheese, meat, and vegetables other than dark-green and/or tomatoes, NS as to fat","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Cheese as ingredient in sandwiches, Breakfast meat as ingredient in omelet, Other vegetables as ingredient in omelet"
"32400300","Egg white, omelet, scrambled, or fried, with vegetables","Eggs and omelets","Egg  white  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Dark green vegetables as ingredient in omelet"
"32400500","Egg white, omelet, scrambled, or fried, with cheese and vegetables","Eggs and omelets","Egg  white  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Cheese as ingredient in sandwiches, Dark green vegetables as ingredient in omelet"
"32400600","Egg white, omelet, scrambled, or fried, with meat and vegetables","Eggs and omelets","Egg  white  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Breakfast meat as ingredient in omelet, Dark green vegetables as ingredient in omelet"
"32400700","Egg white, omelet, scrambled, or fried, with cheese, meat, and vegetables","Eggs and omelets","Egg  white  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Cheese as ingredient in sandwiches, Breakfast meat as ingredient in omelet, Dark green vegetables as ingredient in omelet"
"33401200","Egg substitute, omelet, scrambled, or fried, with vegetables","Eggs and omelets","Egg substitute  liquid or frozen  fat free, Salt  table  iodized, Oil or table fat  NFS, Dark green vegetables as ingredient in omelet"
"33401400","Egg substitute, omelet, scrambled, or fried, with cheese and vegetables","Eggs and omelets","Egg substitute  liquid or frozen  fat free, Salt  table  iodized, Oil or table fat  NFS, Cheese as ingredient in sandwiches, Dark green vegetables as ingredient in omelet"
"75649050","Vegetable soup, made from dry mix","Soups","Soup  cream of vegetable  dry  powder, Beverages  water  tap  drinking"
"33401500","Egg substitute, omelet, scrambled, or fried, with meat and vegetables","Eggs and omelets","Egg substitute  liquid or frozen  fat free, Salt  table  iodized, Oil or table fat  NFS, Breakfast meat as ingredient in omelet, Dark green vegetables as ingredient in omelet"
"33401600","Egg substitute, omelet, scrambled, or fried, with cheese, meat, and vegetables","Eggs and omelets","Egg substitute  liquid or frozen  fat free, Salt  table  iodized, Oil or table fat  NFS, Cheese as ingredient in sandwiches, Breakfast meat as ingredient in omelet, Dark green vegetables as ingredient in omelet"
"41201020","Baked beans, vegetarian","Beans, peas, legumes","Beans  baked  canned  plain or vegetarian"
